ID,Address,Area,PostCode
130753,"Islam Rice"," House 227/A"," Malibagh college Road"," Block N/A"," Sector N/A",Malibagh,1217
130754,"Future Departmental Store"," House 227/A"," Malibagh College Road"," Block N/A"," Sector N/A",Malibagh,1217
131615,Proshanti," House 227/A"," Malibagh Bazar Road",Malibagh,1217
144467,"Tangail Cham Cham SweetsSweets"," House 3"," Mouchak Mor",Malibagh,1217
144485,Jennys," House N/A"," Mouchak Mor",Malibagh,1217
144493,"Pora Bari Cham Cham"," House N/A"," Mouchak Mor",Malibagh,1217
144501,"Bismillah Confectionary "," House 2"," Outer Circular Road",Malibagh,1217
144511,"City Bank Cash"," House N/A"," Mouchak Mor",Malibagh,1217
144601,"Jabir Enterprise"," House 238/1"," New Circular Road","Mouchak More",1217
144603,"Jabir Enterprise"," House 238/1"," New Circular Road","Mouchak More",1217
144605,"Jabir Enterprise"," House 238/1"," New Circular Road","Mouchak More",1217
144607,"Jabir Enterprise"," House 238/1"," New Circular Road","Mouchak More",1217
144608,"Jabir Enterprise"," House 238/1"," New Circular Road","Mouchak More",1217
144609,"Jabir Enterprise"," House 238/1"," New Circular Road","Mouchak More",1217
144611,"Bismillah Medicine Corner"," House 238/1"," New Circular Road","Mouchak More",1217
144615,"Bangladesh Commerce Bank Limited"," House N/A"," New Circular Road",Malibagh,1217
144616,Apex," House N/A"," Outer Circular Road",Malibagh,1217
144617,N/A," House N/A"," Outer Circular Road",Malibagh,1217
144618,"Maruf Market"," House N/A"," Outer Circular Road",Malibagh,1217
144619,"Icon University Admission Coaching"," House 238/1"," New Circular Road",Malibagh,1217
144620,"New Life"," House 238/1"," New Circular Road",Malibagh,1217
144621,"Tahfizul Quran International Madrasa"," House 238/1"," Mouchak More",Malibagh,1217
144624,"Cordial Cottage Green"," House 73"," Malibagh Bazar Road",Malibagh,1217
144625,"Media Satellite Lucky Video"," House 73/A"," Malibagh Bazar Road",Malibagh,1217
144629,"Nakshi Villa"," House 237",238," Malibagh Bazar Road",Malibagh,1217
144630,N/A," House 139"," Malibagh Bazar Road",Malibagh,1217
144632,"Lamia General Store"," House 139"," Malibagh Bazar Road",Malibagh,1217
144635,"Borno Telecom"," House 236"," Malibagh Bazar Road",Malibagh,1217
144637,"Borno telecom"," House 236"," Malibagh Bazar Road",Malibagh,1217
144638,"Borno telecom"," House 236"," Malibagh Bazar Road",Malibagh,1217
144640,"Borno telecom"," House 236"," Malibagh Bazar Road",Malibagh,1217
144642,"Borno telecom"," House 236"," Malibagh Bazar Road",Malibagh,1217
144645,"Dolna Parsony"," House N/A"," Malibagh Bazar Road",Malibagh,1217
144647,"Daily Needs"," House 139"," Malibagh Bazar Road",Malibagh,1217
144650,"Daily Needs"," House 139"," Malibagh Bazar Road",Malibagh,1217
144652,"Daily Needs"," House 139"," Malibagh Bazar Road",Malibagh,1217
